x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
152.5;150.5;611.5;605.5;6.199999809265137;6.900000095367432;0.0;0.0
288.5;286.5;612.5;606.5;6.199999809265137;6.900000095367432;0.0;0.0
514.5;512.5;612.5;607.5;6.199999809265137;6.199999809265137;0.0;0.0
243.5;241.5;612.5;606.5;7.0;6.199999809265137;0.0;0.0
424.5;422.5;612.5;606.5;6.900000095367432;6.199999809265137;0.0;0.0
379.5;377.5;612.5;606.5;6.900000095367432;6.199999809265137;0.0;0.0
469.5;467.5;612.5;607.5;6.900000095367432;7.0;0.0;0.0
62.5;60.5;611.5;605.5;6.900000095367432;7.0;0.0;0.0
17.5;15.5;611.5;604.5;6.900000095367432;6.199999809265137;0.0;0.0
198.5;195.5;611.5;605.5;6.199999809265137;6.199999809265137;0.0;0.0
107.5;105.5;611.5;605.5;23.0;22.700000762939453;1.0;1.0
334.5;331.5;612.5;606.5;22.100000381469727;23.0;1.0;1.0
560.5;558.5;612.5;607.5;23.0;23.0;1.0;1.0
