x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
248.5;248.5;761.5;763.5;6.900000095367432;6.599999904632568;0.0;0.0
474.5;474.5;762.5;764.5;6.900000095367432;6.900000095367432;0.0;0.0
293.5;293.5;761.5;763.5;6.900000095367432;6.900000095367432;0.0;0.0
519.5;519.5;762.5;764.5;6.900000095367432;6.900000095367432;0.0;0.0
564.5;564.5;762.5;764.5;6.199999809265137;6.900000095367432;0.0;0.0
339.5;338.5;761.5;763.5;6.900000095367432;6.900000095367432;0.0;0.0
23.5;22.5;760.5;762.5;6.900000095367432;6.900000095367432;0.0;0.0
68.5;67.5;760.5;762.5;6.900000095367432;6.900000095367432;0.0;0.0
113.5;112.5;760.5;762.5;6.900000095367432;6.900000095367432;0.0;0.0
158.5;158.5;761.5;763.5;6.900000095367432;6.199999809265137;0.0;0.0
384.5;384.5;761.5;763.5;6.900000095367432;6.199999809265137;0.0;0.0
203.5;203.5;761.5;763.5;22.700000762939453;22.899999618530273;1.0;1.0
429.5;429.5;762.5;764.5;21.799999237060547;22.899999618530273;1.0;1.0
