x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
443.5;443.5;759.5;757.5;6.900000095367432;6.900000095367432;0.0;0.0
217.5;217.5;758.5;757.5;6.599999904632568;6.900000095367432;0.0;0.0
262.5;262.5;758.5;757.5;6.900000095367432;6.900000095367432;0.0;0.0
307.5;307.5;759.5;757.5;6.199999809265137;6.900000095367432;0.0;0.0
353.5;353.5;759.5;757.5;6.900000095367432;6.900000095367432;0.0;0.0
127.5;127.5;758.5;756.5;6.900000095367432;6.900000095367432;0.0;0.0
488.5;488.5;759.5;757.5;6.900000095367432;6.900000095367432;0.0;0.0
82.5;82.5;757.5;756.5;6.900000095367432;6.900000095367432;0.0;0.0
37.5;37.5;757.5;756.5;6.900000095367432;6.199999809265137;0.0;0.0
398.5;398.5;759.5;757.5;22.700000762939453;22.899999618530273;1.0;1.0
172.5;172.5;758.5;756.5;22.700000762939453;22.899999618530273;1.0;1.0
