x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
41.5;41.5;613.5;616.5;6.199999809265137;6.900000095367432;0.0;0.0
403.5;403.5;615.5;618.5;6.199999809265137;6.900000095367432;0.0;0.0
86.5;86.5;614.5;617.5;6.199999809265137;6.199999809265137;0.0;0.0
267.5;267.5;615.5;618.5;6.199999809265137;6.199999809265137;0.0;0.0
313.5;312.5;615.5;618.5;6.900000095367432;6.199999809265137;0.0;0.0
539.5;539.5;616.5;619.5;6.900000095367432;7.0;0.0;0.0
177.5;177.5;614.5;617.5;6.900000095367432;7.0;0.0;0.0
449.5;448.5;616.5;619.5;6.199999809265137;6.199999809265137;0.0;0.0
222.5;222.5;614.5;617.5;6.199999809265137;7.0;0.0;0.0
494.5;493.5;616.5;619.5;6.900000095367432;6.199999809265137;0.0;0.0
358.5;358.5;615.5;618.5;22.899999618530273;23.0;1.0;1.0
132.5;131.5;614.5;617.5;23.0;23.0;1.0;1.0
584.5;584.5;616.5;619.5;22.700000762939453;22.899999618530273;1.0;1.0
