x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
245.5;244.5;664.5;673.5;6.900000095367432;6.900000095367432;0.0;0.0
472.5;470.5;665.5;675.5;6.900000095367432;6.900000095367432;0.0;0.0
381.5;380.5;664.5;674.5;6.900000095367432;6.900000095367432;0.0;0.0
517.5;515.5;665.5;675.5;6.900000095367432;6.900000095367432;0.0;0.0
20.5;18.5;663.5;671.5;6.900000095367432;6.900000095367432;0.0;0.0
65.5;63.5;663.5;672.5;6.900000095367432;6.900000095367432;0.0;0.0
200.5;199.5;664.5;673.5;6.900000095367432;6.900000095367432;0.0;0.0
291.5;289.5;664.5;674.5;6.900000095367432;6.900000095367432;0.0;0.0
155.5;153.5;664.5;673.5;6.900000095367432;6.199999809265137;0.0;0.0
110.5;108.5;663.5;672.5;22.899999618530273;22.899999618530273;1.0;1.0
562.5;561.5;665.5;675.5;22.700000762939453;21.799999237060547;1.0;1.0
336.5;334.5;664.5;674.5;22.799999237060547;23.0;1.0;1.0
