x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
482.5;479.5;650.5;655.5;6.599999904632568;6.900000095367432;0.0;0.0
30.5;27.5;648.5;652.5;6.900000095367432;6.900000095367432;0.0;0.0
437.5;434.5;650.5;655.5;6.900000095367432;6.900000095367432;0.0;0.0
120.5;117.5;649.5;652.5;6.900000095367432;6.900000095367432;0.0;0.0
165.5;162.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
165.5;208.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
256.5;253.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
346.5;343.5;650.5;654.5;6.900000095367432;6.900000095367432;0.0;0.0
392.5;389.5;650.5;654.5;6.900000095367432;6.900000095367432;0.0;0.0
572.5;569.5;650.5;655.5;6.900000095367432;6.900000095367432;0.0;0.0
75.5;72.5;648.5;652.5;22.899999618530273;22.5;1.0;1.0
527.5;524.5;650.5;655.5;22.700000762939453;22.700000762939453;1.0;1.0
301.5;298.5;649.5;654.5;22.899999618530273;22.799999237060547;1.0;1.0
