x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
92.5;93.5;603.5;605.5;6.199999809265137;6.599999904632568;0.0;0.0
319.5;319.5;650.5;651.5;6.199999809265137;6.900000095367432;0.0;0.0
454.5;455.5;650.5;651.5;6.900000095367432;6.900000095367432;0.0;0.0
92.5;93.5;649.5;650.5;6.199999809265137;6.599999904632568;0.0;0.0
409.5;410.5;650.5;651.5;6.900000095367432;6.900000095367432;0.0;0.0
545.5;545.5;650.5;651.5;6.900000095367432;6.900000095367432;0.0;0.0
47.5;48.5;558.5;560.5;6.900000095367432;6.900000095367432;0.0;0.0
138.5;138.5;649.5;650.5;7.0;6.900000095367432;0.0;0.0
47.5;48.5;603.5;605.5;6.900000095367432;6.900000095367432;0.0;0.0
228.5;229.5;649.5;651.5;6.900000095367432;6.199999809265137;0.0;0.0
2.5;3.5;513.5;469.5;6.900000095367432;6.599999904632568;0.0;0.0
47.5;48.5;513.5;514.5;6.900000095367432;6.199999809265137;0.0;0.0
183.5;183.5;649.5;651.5;6.900000095367432;6.199999809265137;0.0;0.0
364.5;364.5;650.5;651.5;6.900000095367432;7.0;0.0;0.0
47.5;48.5;513.5;469.5;6.900000095367432;6.199999809265137;0.0;0.0
2.5;3.5;513.5;514.5;6.900000095367432;6.900000095367432;0.0;0.0
2.5;3.5;648.5;650.5;6.900000095367432;6.900000095367432;0.0;0.0
500.5;500.5;650.5;651.5;23.0;22.700000762939453;1.0;1.0
47.5;48.5;648.5;650.5;23.0;22.799999237060547;1.0;1.0
273.5;274.5;649.5;651.5;23.0;23.0;1.0;1.0
48.5;48.5;422.5;424.5;22.200000762939453;22.700000762939453;1.0;1.0
