x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
413.5;405.5;722.5;703.5;6.900000095367432;6.900000095367432;0.0;0.0
51.5;43.5;721.5;699.5;6.900000095367432;6.900000095367432;0.0;0.0
186.5;179.5;722.5;701.5;6.199999809265137;6.900000095367432;0.0;0.0
503.5;495.5;722.5;704.5;6.900000095367432;6.199999809265137;0.0;0.0
141.5;134.5;721.5;700.5;6.199999809265137;6.199999809265137;0.0;0.0
367.5;360.5;722.5;703.5;6.0;6.199999809265137;0.0;0.0
548.5;541.5;722.5;704.5;7.0;6.199999809265137;0.0;0.0
96.5;88.5;721.5;700.5;7.0;6.199999809265137;0.0;0.0
322.5;315.5;722.5;702.5;6.900000095367432;6.199999809265137;0.0;0.0
593.5;586.5;722.5;705.5;6.900000095367432;6.199999809265137;0.0;0.0
277.5;269.5;722.5;702.5;6.199999809265137;6.199999809265137;0.0;0.0
232.5;224.5;722.5;701.5;23.0;22.899999618530273;1.0;1.0
458.5;450.5;722.5;703.5;22.799999237060547;22.100000381469727;1.0;1.0
