x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
262.5;261.5;758.5;760.5;6.599999904632568;6.900000095367432;0.0;0.0
127.5;126.5;757.5;759.5;6.199999809265137;6.900000095367432;0.0;0.0
352.5;352.5;758.5;760.5;6.199999809265137;6.900000095367432;0.0;0.0
217.5;216.5;758.5;760.5;6.900000095367432;6.900000095367432;0.0;0.0
488.5;487.5;759.5;761.5;6.900000095367432;6.900000095367432;0.0;0.0
578.5;577.5;759.5;761.5;6.900000095367432;6.900000095367432;0.0;0.0
36.5;36.5;757.5;758.5;6.900000095367432;6.900000095367432;0.0;0.0
36.5;81.5;757.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
533.5;532.5;759.5;761.5;6.900000095367432;6.900000095367432;0.0;0.0
172.5;171.5;758.5;759.5;21.799999237060547;22.899999618530273;1.0;1.0
398.5;397.5;759.5;760.5;21.799999237060547;23.0;1.0;1.0
