x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
57.5;57.5;611.5;612.5;6.0;6.900000095367432;0.0;0.0
283.5;283.5;613.5;613.5;7.0;6.900000095367432;0.0;0.0
238.5;238.5;612.5;613.5;6.900000095367432;6.900000095367432;0.0;0.0
464.5;464.5;613.5;614.5;6.900000095367432;6.900000095367432;0.0;0.0
510.5;509.5;613.5;614.5;6.199999809265137;6.900000095367432;0.0;0.0
193.5;192.5;612.5;613.5;7.0;6.199999809265137;0.0;0.0
12.5;12.5;611.5;612.5;6.900000095367432;6.199999809265137;0.0;0.0
147.5;147.5;612.5;612.5;7.0;7.0;0.0;0.0
419.5;419.5;613.5;614.5;6.900000095367432;7.0;0.0;0.0
374.5;374.5;613.5;613.5;6.900000095367432;6.199999809265137;0.0;0.0
102.5;102.5;612.5;612.5;23.0;22.899999618530273;1.0;1.0
555.5;555.5;614.5;614.5;22.100000381469727;23.0;1.0;1.0
328.5;328.5;613.5;613.5;22.100000381469727;23.0;1.0;1.0
