x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
545.5;544.5;650.5;649.5;6.900000095367432;6.900000095367432;0.0;0.0
92.5;92.5;649.5;602.5;7.0;6.900000095367432;0.0;0.0
319.5;318.5;650.5;648.5;6.900000095367432;6.900000095367432;0.0;0.0
454.5;454.5;650.5;649.5;6.199999809265137;6.900000095367432;0.0;0.0
92.5;92.5;649.5;647.5;7.0;6.900000095367432;0.0;0.0
183.5;182.5;649.5;648.5;6.900000095367432;6.900000095367432;0.0;0.0
364.5;363.5;650.5;649.5;6.599999904632568;6.199999809265137;0.0;0.0
409.5;409.5;650.5;649.5;6.900000095367432;6.199999809265137;0.0;0.0
138.5;137.5;649.5;648.5;6.900000095367432;7.0;0.0;0.0
228.5;227.5;650.5;648.5;7.0;7.0;0.0;0.0
500.5;499.5;651.5;649.5;22.100000381469727;22.700000762939453;1.0;1.0
273.5;273.5;650.5;648.5;23.0;22.899999618530273;1.0;1.0
47.5;47.5;649.5;647.5;21.799999237060547;22.899999618530273;1.0;1.0
47.5;47.5;649.5;421.5;21.799999237060547;22.5;1.0;1.0
