x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
339.5;339.5;753.5;754.5;7.0;6.900000095367432;0.0;0.0
158.5;158.5;753.5;753.5;7.0;6.900000095367432;0.0;0.0
294.5;294.5;753.5;754.5;6.199999809265137;6.900000095367432;0.0;0.0
384.5;384.5;754.5;754.5;7.0;6.900000095367432;0.0;0.0
519.5;520.5;754.5;754.5;7.0;6.900000095367432;0.0;0.0
565.5;565.5;754.5;754.5;6.199999809265137;6.900000095367432;0.0;0.0
113.5;113.5;752.5;753.5;6.900000095367432;6.900000095367432;0.0;0.0
474.5;475.5;754.5;754.5;6.900000095367432;6.900000095367432;0.0;0.0
68.5;23.5;752.5;752.5;6.900000095367432;6.900000095367432;0.0;0.0
248.5;249.5;753.5;754.5;6.900000095367432;6.199999809265137;0.0;0.0
429.5;430.5;754.5;754.5;23.0;23.0;1.0;1.0
203.5;204.5;753.5;753.5;22.799999237060547;21.799999237060547;1.0;1.0
