x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
365.5;369.5;641.5;642.5;6.900000095367432;6.900000095367432;0.0;0.0
410.5;414.5;641.5;642.5;7.0;6.900000095367432;0.0;0.0
229.5;233.5;640.5;642.5;6.199999809265137;6.900000095367432;0.0;0.0
184.5;188.5;640.5;642.5;6.900000095367432;6.900000095367432;0.0;0.0
139.5;143.5;640.5;642.5;6.900000095367432;6.199999809265137;0.0;0.0
320.5;324.5;641.5;642.5;6.900000095367432;7.0;0.0;0.0
456.5;459.5;641.5;642.5;6.199999809265137;6.0;0.0;0.0
546.5;550.5;642.5;642.5;7.0;7.0;0.0;0.0
94.5;97.5;640.5;643.5;7.0;7.400000095367432;0.0;0.0
274.5;278.5;641.5;642.5;22.100000381469727;22.100000381469727;1.0;1.0
49.5;52.5;639.5;643.5;22.100000381469727;22.100000381469727;1.0;1.0
501.5;505.5;641.5;642.5;22.100000381469727;23.0;1.0;1.0
