x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
37.5;39.5;747.5;747.5;6.900000095367432;6.900000095367432;0.0;0.0
127.5;129.5;748.5;748.5;6.900000095367432;6.900000095367432;0.0;0.0
308.5;310.5;749.5;748.5;6.900000095367432;6.900000095367432;0.0;0.0
534.5;536.5;750.5;748.5;6.199999809265137;6.199999809265137;0.0;0.0
217.5;219.5;749.5;748.5;6.199999809265137;7.0;0.0;0.0
353.5;355.5;749.5;748.5;6.900000095367432;7.0;0.0;0.0
489.5;491.5;749.5;748.5;6.199999809265137;6.199999809265137;0.0;0.0
579.5;581.5;750.5;748.5;7.0;7.0;0.0;0.0
82.5;84.5;748.5;748.5;6.900000095367432;7.0;0.0;0.0
263.5;265.5;749.5;748.5;7.0;7.0;0.0;0.0
444.5;445.5;749.5;748.5;6.199999809265137;6.199999809265137;0.0;0.0
172.5;174.5;748.5;748.5;23.0;22.799999237060547;1.0;1.0
398.5;400.5;749.5;749.5;23.0;22.100000381469727;1.0;1.0
