x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
398.5;396.5;730.5;728.5;6.199999809265137;6.900000095367432;0.0;0.0
82.5;79.5;729.5;726.5;6.900000095367432;6.199999809265137;0.0;0.0
308.5;305.5;730.5;728.5;7.0;6.199999809265137;0.0;0.0
444.5;441.5;730.5;728.5;6.199999809265137;6.199999809265137;0.0;0.0
172.5;170.5;729.5;727.5;6.199999809265137;7.0;0.0;0.0
353.5;351.5;730.5;728.5;6.199999809265137;7.0;0.0;0.0
217.5;215.5;729.5;727.5;6.199999809265137;7.0;0.0;0.0
579.5;577.5;730.5;729.5;7.0;7.0;0.0;0.0
534.5;531.5;730.5;729.5;6.900000095367432;6.199999809265137;0.0;0.0
127.5;125.5;729.5;727.5;6.900000095367432;6.199999809265137;0.0;0.0
37.5;34.5;729.5;726.5;23.0;22.899999618530273;1.0;1.0
489.5;486.5;730.5;729.5;22.899999618530273;22.100000381469727;1.0;1.0
263.5;260.5;730.5;728.5;22.100000381469727;23.0;1.0;1.0
