x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
352.5;353.5;758.5;754.5;7.0;6.900000095367432;0.0;0.0
126.5;127.5;757.5;753.5;7.0;6.900000095367432;0.0;0.0
443.5;443.5;758.5;754.5;6.900000095367432;6.900000095367432;0.0;0.0
36.5;37.5;756.5;752.5;6.900000095367432;6.900000095367432;0.0;0.0
81.5;82.5;756.5;753.5;6.199999809265137;6.900000095367432;0.0;0.0
217.5;217.5;757.5;753.5;6.900000095367432;6.199999809265137;0.0;0.0
262.5;262.5;757.5;754.5;7.0;6.199999809265137;0.0;0.0
488.5;488.5;758.5;754.5;6.900000095367432;7.0;0.0;0.0
307.5;308.5;758.5;754.5;7.0;7.0;0.0;0.0
533.5;534.5;758.5;754.5;6.599999904632568;7.0;0.0;0.0
578.5;579.5;758.5;754.5;6.599999904632568;7.0;0.0;0.0
398.5;398.5;758.5;754.5;23.0;22.700000762939453;1.0;1.0
172.5;172.5;757.5;753.5;23.0;22.899999618530273;1.0;1.0
